Animal,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,,notes
,,,,,,,,,for mammals and birds forebrain includes pallium for reptiles entire telencephalon because palil count are not available
Algerian Sand Gecko,0.0055,0.0002,0.01,"740,000","151,000","1,771,000",0.99,,
Brown Anole,0.0110,0.0013,0.03,"898,000","648,000","2,792,000",3.44,,
Peters' Eyelid Skink,0.0153,0.0003,0.03,"1,525,000","120,000","3,049,000",6.43,,
Hispaniolan Curlytail Lizard,0.0357,0.0039,0.11,"1,528,000","2,216,000","7,063,000",22.47,,
Asian Grass Lizard,0.0122,0.0007,0.03,"1,528,000","531,000","4,021,000",3.59,,
Sumatran Flying Dragon,0.0196,0.0017,0.04,"1,539,000","1,296,000","5,174,000",2.6,,
Sand Lizard,0.0422,0.0020,0.09,"1,749,000","428,000","4,341,000",16.00,,
Papua Snake Lizard,0.0265,0.0014,0.06,"1,752,000","572,000","4,271,000",14.96,,
Natal Midlands Dwarf Chameleon,0.0254,0.0038,0.06,"1,783,000","960,000","4,305,000",10.39,,
Blackbelly Racerunner,0.0327,0.0022,0.09,"1,920,000","980,000","5,968,000",8.98,,
Ocelot Gecko,0.0561,0.0028,0.10,"1,949,000","781,000","4,515,000",17.90,,
Greek Slow Worm,0.0215,0.0001,0.037,"1,960,000","38,000","3,713,000",10.5,,
Common House Gecko,0.0226,0.0009,0.04,"2,037,000","755,000","3,988,000",4.8,,
Azerbaijan Lizard,0.0258,0.0012,0.05,"2,132,000","581,000","4,765,000",4.26,,
East African Spiny-Tailed Lizard,0.0443,0.0033,0.10,"2,154,000","1,024,000","5,756,000",16.45,,
Green Spiny Lizard,0.0392,0.0046,0.11,"2,181,000","1,861,000","7,149,000",17.90,,
Crested Gecko,0.0633,0.0041,0.12,"2,225,000","1,180,000","5,417,000",28.85,,
Ground Agama,0.0579,0.0072,0.16,"2,354,000","1,973,000","7,631,000",24.58,,
Caspian Green Lizard,0.0562,0.0022,0.11,"2,398,000","685,000","5,529,000",17.10,,
Black-Necked Agama,0.0770,0.0101,0.21,"2,409,000","1,966,000","8,650,000",73.57,,
Cat Gecko,0.0369,0.0011,0.06,"2,479,000","1,039,000","5,964,000",4.47,,
San Francisco Garter Snake,0.0307,0.0008,0.07,"2,529,000","374,000","5,663,000",50.02,,
Saw-Scaled Viper,0.0445,0.0016,0.10,"2,559,000","354,000","4,951,000",169.60,,
Blue-Throated Keeled Lizard,0.0252,0.0023,0.06,"2,638,000","832,000","5,269,000",6.78,,
Tenerife Gecko,0.0344,0.0008,0.05,"2,654,000","344,000","5,001,000",6.08,,
Oriental Whipsnake,0.0546,0.0049,0.17,"2,668,000","1,144,000","9,767,000",86.80,,
Red-Eyed Crocodile Skink,0.0721,0.0042,0.12,"2,682,000","837,000","5,697,000",31.76,,
Saharan Horned Viper,0.0445,0.0016,0.09,"2,736,000","296,000","4,996,000",82.00,,
Common Agama,0.0700,0.0034,0.19,"2,749,000","1,636,000","7,455,000",76.48,,
Percival's Lance Skink,0.0272,0.0003,0.05,"2,902,000","170,000","4,340,000",18.36,,
Copper-Tailed Skink,0.0142,0.0006,0.03,"2,908,000","849,000","5,733,000",2.26,,
Brown Water Snake,0.0652,0.0019,0.14,"2,984,000","328,000","5,995,000",223.00,,
Rock Viper,0.1021,0.0033,0.20,"3,439,000","315,000","6,677,000",737.00,,
Cape Coral Snake,0.0619,0.0015,0.11,"3,447,000","402,000","6,020,000",136.00,,
Malagasy Giant Chameleon,0.1094,0.0129,0.26,"3,502,000","2,352,000","9,751,000",270.10,,
Ocellated Skink,0.0298,0.0007,0.06,"3,518,000","421,000","5,774,000",16.50,,
Meller´s Chameleon,0.1422,0.0123,0.33,"3,569,000","2,969,000","12,035,000",367.20,,
South American Rattlesnake,0.0893,0.0027,0.17,"3,622,000","311,000","7,263,000",383.00,,
Madagascar Spotted Spiny-Tailed Iguana,0.0864,0.0097,0.21,"3,729,000","2,464,000","9,565,000",77.23,,
Elegant Sand Racer,0.0479,0.0024,0.14,"3,764,000","833,000","9,170,000",119.00,,
Common Pipe Snake,0.0475,0.0003,0.07,"3,872,000","94,000","5,779,000",92.60,,
Common Sandfish,0.0518,0.0012,0.09,"3,922,000","428,000","6,284,000",16.12,,
Mountain Horned Dragon,0.0776,0.0081,0.23,"3,991,000","2,597,000","10,724,000",53.58,,
Kuhl's Flying Gecko,0.0589,0.0040,0.11,"4,046,000","1,178,000","7,659,000",13.64,,
Tokay Gecko,0.1604,0.0080,0.27,"4,049,000","1,953,000","8,892,000",70.65,,
Plumed Basilisk,0.1612,0.0137,0.38,"4,261,000","3,304,000","15,536,000",200.70,,
Ornate Mastigure,0.1029,0.0117,0.22,"4,389,000","2,336,000","11,438,000",271.90,,
Southern Long-Tailed Lizard,0.0641,0.0023,0.12,"4,487,000","328,000","8,099,000",17.99,,
Russian Tortoise,0.2088,0.0138,0.32,"4,508,000","1,742,000","9,008,000",641.00,,
Olive Tree Skink,0.0608,0.0025,0.13,"4,566,000","1,418,000","9,785,000",30.28,,
Collared Iguanid Lizard,0.1152,0.0142,0.27,"4,571,000","4,818,000","14,627,000",81.10,,
Razor-backed Musk Turtle,0.2225,0.0098,0.28,"4,597,000","1,729,000","8,389,000",233.00,,
Marginated Tortoise,0.4281,0.0227,0.57,"4,611,000","2,311,000","9,074,000",1845.00,,
Greek Tortoise,0.2661,0.0129,0.36,"4,649,000","1,816,000","8,520,000",1427.10,,
Giant Bent-Toed Gecko,0.1171,0.0062,0.19,"4,742,000","2,933,000","11,415,000",56.02,,
Common Leopard Gecko,0.0682,0.0027,0.12,"4,843,000","1,180,000","8,081,000",21.27,,
East African Black Mud Turtle,0.1798,0.0137,0.30,"4,992,000","3,376,000","11,285,000",394.50,,
Morrocan Eyed Lizard,0.0869,0.0039,0.21,"5,035,000","1,297,000","10,619,000",49.41,,
African sheath-tailed bat,0.0899,0.054,0.244,"5,080,000","47,984,000","58,580,000",11.5,,
Yellow-Throated Plated Lizard,0.1138,0.0044,0.23,"5,135,000","1,497,000","11,847,000",52.28,,
Common Sun Skink,0.0894,0.0041,0.16,"5,287,000","2,077,000","10,944,000",24.96,,
Madagascar Giant Day Gecko,0.0828,0.0042,0.15,"5,337,000","1,056,000","8,623,000",26.81,,
Karsten's Girdled Lizard,0.1091,0.0050,0.21,"5,429,000","1,191,000","9,538,000",58.78,,
Corn Snake,0.1504,0.0027,0.26,"5,437,000","635,000","10,629,000",584.00,,
Little free-tailed bat,0.084,0.036,0.208,"5,632,000","25,324,000","34,958,000",5.4,,
Chinese Water Dragon,0.1995,0.0182,0.49,"5,634,000","3,745,000","18,301,000",254.80,,
Sunbeam Snake,0.1125,0.0014,0.17,"5,802,000","314,000","9,293,000",178.00,,
Tenerife Lizard,0.0886,0.0026,0.15,"5,824,000","1,328,000","10,903,000",42.88,,
Rufous trident bat,0.093,0.072,0.251,"6,039,000","59,651,000","69,763,000",13.7,,
Eastern Giant Stump-toed Gecko,0.1196,0.0057,0.20,"6,064,000","2,611,000","12,388,000",30.17,,
Common bent-wing bat,0.0858,0.0485,0.219,"6,116,000","44,447,000","55,659,000",11.6,,
Naked mole-rat,0.184,0.048,0.392,"6,150,000","15,740,000","26,880,000",35.3,,
Frill-Necked Lizard,0.1894,0.0238,0.47,"6,275,000","3,201,000","18,641,000",547.90,,
Western Whiptail,0.0726,0.0036,0.14,"6,277,000","2,566,000","12,269,000",17.10,,
Northern Snake-Necked Turtle,0.5860,0.0474,0.92,"6,409,000","8,375,000","19,040,000",1747.00,,
White-Lipped Mud Turtle,0.2250,0.0095,0.30,"6,445,000","3,036,000","12,671,000",230.20,,
Red-Bellied Short-Necked Turtle,0.2787,0.0288,0.43,"6,709,000","5,895,000","15,787,000",725.70,,
