Animal,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m
,,,,,,,
African sheath-tailed bat,0.0899,0.054,0.244,"5,080,000","47,984,000","58,580,000",11.5
Little free-tailed bat,0.084,0.036,0.208,"5,632,000","25,324,000","34,958,000",5.4
Rufous trident bat,0.093,0.072,0.251,"6,039,000","59,651,000","69,763,000",13.7
Common bent-wing bat,0.0858,0.0485,0.219,"6,116,000","44,447,000","55,659,000",11.6
Naked mole-rat,0.184,0.048,0.392,"6,150,000","15,740,000","26,880,000",35.3
Commerson's roundleaf bat,0.243,0.107,0.588,"7,877,000","51,875,000","66,719,000",101.9
Smoky shrew,0.084,0.02,0.176,"9,730,000","20,870,000","36,460,000",7.5
Heart-nosed bat,0.257,0.103,0.562,"10,221,000","63,792,000","81,331,000",26
Short-palated fruit bat,0.461,0.127,0.892,"10,471,000","77,445,000","99,016,000",27
Northern short-tailed shrew,0.197,0.037,0.347,"11,876,000","33,430,000","55,190,000",21.6
Woermann's bat,0.309,0.079,0.55,"11,897,000","49,734,000","65,728,000",17.9
Zenker's fruit bat,0.323,0.085,0.588,"12,847,000","47,217,000","65,595,000",16.1
House mouse,0.173,0.056,0.402,"13,690,000","42,220,000","67,870,000",20.5
Hairy-tailed mole,0.429,0.102,0.759,"15,690,000","100,780,000","123,600,000",62.5
Golden hamster,0.446,0.145,0.965,"17,140,000","61,210,000","84,220,000",105
Star-nosed mole,0.42,0.138,0.802,"17,250,000","105,920,000","131,300,000",55.3
Grey mouse lemur,0.908,0.391,1.799,"22,310,000","221,380,000","254,710,000",64.8
Franquet's epauletted fruit bat,1.04,0.286,2.044,"22,533,000","150,660,000","186,002,000",120
Hammer-headed bat,1.805,0.456,3.459,"24,343,000","221,298,000","274,519,000",310
Cayenne spiny rat,0.924,0.33,2.078,"26,090,000","162,510,000","202,090,000",356.5
Wahlberg's epauletted fruit bat,0.634,0.193,1.224,"26,201,000","121,136,000","161,755,000",74
Eastern mole,0.476,0.153,0.999,"26,680,000","158,550,000","203,500,000",90
Egyptian fruit bat,0.985,0.219,1.778,"28,859,000","132,436,000","172,232,000",120
Brown rat,0.769,0.272,1.724,"31,020,000","139,170,000","188,870,000",300
Four-toed elephant shrew,1.239,0.304,2.44,"33,947,000","110,650,000","156,830,000",210
Ferret,3.123,0.92,5.429,"38,950,000","351,260,000","404,430,000",809
Guinea pig,1.938,0.5,3.656,"43,510,000","167,850,000","233,560,000",728
Common tree shrew,1.455,0.326,2.752,"60,390,000","185,280,000","261,400,000",200
European rabbit,4.448,1.412,9.132,"71,450,000","396,670,000","494,200,000",1800
Eastern grey squirrel,2.73,0.874,5.548,"77,330,000","342,830,000","453,660,000",533
Black-rumped agouti,8.913,2.742,17.628,"110,640,000","673,490,000","827,330,000",2843.3
