Animal,Forebrain m,Cerebellum m,Forebrain n,Cerebellum n,Body m
,,,,,
Namaqua dove,0.24,0.087,"14,167,000","59,533,000",31.85
Common ground dove,0.246,0.075,"17,602,000","51,380,000",35.277
Diamond dove,0.24,0.0776,"18,209,000","54,101,000",39.93
King quail,0.22,0.0717,"20,523,000","42,945,000",43.81
Common quail,0.36,0.109,"22,568,000","75,198,000",94.86
Common emerald dove,0.494,0.176,"27,148,000","109,818,000",119.64
Common bronzewing,0.869,0.257,"34,077,000","145,208,000",306.025
Pink-necked green pigeon,0.645,0.2,"34,357,000","114,792,000",128.85
Grey partridge,0.74,0.2071,"36,882,000","107,546,000",337.33
Northern bobwhite,0.51,0.1471,"39,112,000","80,021,000",181.08
African collared dove,0.51,0.1404,"39,997,000","72,381,000",137.25
Silver-tipped imperial pigeon,1.449,0.434,"47,331,000","210,346,000",456.4
Quebrach crested tinamou,0.88,0.2526,"48,292,000","146,230,000",475.75
Red-legged partridge,1.055,0.243,"50,185,000","108,889,000",459.667
Common wood pigeon,1.28,0.4016,"51,325,000","164,834,000",468.33
Elegant crested tinamou,1,0.2734,"51,384,000","129,548,000",502.95
Eurasian blackcap,0.454,0.084,"52,000,000","76,000,000",16.7
California quail,0.607,0.194,"52,490,000","92,319,000",199.6
Speckled pigeon,0.897,0.316,"53,884,000","161,142,000",262.94
Tetrao tetrix,1.562,0.48,"54,079,000","176,651,000",897.8
Black francolin,0.825,0.224,"54,209,000","139,932,000",368.6
Zebra finch,0.277,0.056,"55,000,000","56,000,000",12
Black-naped fruit dove,0.692,0.203,"55,673,000","115,880,000",99.55
Chilean tinamou,0.82,0.2376,"59,130,000","136,461,000",388.7
Luzon bleeding-heart,0.688,0.221,"59,161,000","134,425,000",199.2
Red junglefowl,1.335,0.369,"60,000,000","114,000,000",779.8
Goldcrest,0.176,0.04,"64,000,000","66,000,000",5.6
Rock dove,0.915,0.332,"72,000,000","197,000,000",358.7
Common pheasant,1.898,0.451,"76,278,000","194,341,000",1221.667
Reeves's pheasant,1.7,0.5158,"80,688,000","245,720,000",1119
Great tit,0.58,0.09,"83,000,000","108,000,000",17.9
Eurasian sparrowhawk,1.28,0.4795,"87,832,000","253,630,000",162.4
Green-rumped parrotled,0.715,0.098,"103,000,000","89,600,000",24
Wild turkey,2.89,0.8564,"105,654,000","315,741,000",3453.33
Mallard,3.6,0.6496,"112,255,000","220,314,000",1361.67
Australian wood duck,2.282,0.597,"112,604,000","245,364,000",613.8
Eurasian wigeon,2.462,0.45,"113,159,000","151,783,000",636.8
Victoria crowned pigeon,2.94,0.8918,"118,445,000","405,518,000",1375.4
Ruddy shelduck,2.805,0.829,"119,202,000","264,298,000",1257.967
Yellow-Knobbed Curassow,4.92,1.184,"124,624,000","472,677,000",2448.6
Baikal teal,1.891,0.413,"129,036,000","151,217,000",449.05
Indian peafowl,3.15,0.8543,"129,621,000","374,518,000",3599.2
Lake duck,2.304,0.445,"129,874,000","112,566,000",551.15
Marbled duck,2.04,0.433,"130,142,000","213,841,000",452.2
Pygmy falcon,0.86,0.2106,"131,898,000","155,402,000",63.91
Helmeted guineafowl,1.852,0.494,"132,459,000","253,934,000",1703.9
Wandering whistling duck,2.701,0.616,"134,286,000","220,818,000",806.95
Common blackbird,1.091,0.213,"136,000,000","186,000,000",103.2
Wood duck,2.26,0.4028,"138,206,000","133,108,000",649.3
Smew,2.108,0.542,"140,265,000","256,227,000",513.55
Red kite,3.831,0.863,"145,561,000","403,410,000",843.4
Montagu's harrier,2.218,0.644,"148,326,000","348,250,000",243
Red-breasted goose,2.7,0.7371,"148,617,000","285,407,000",1042.3
Budgerigar,0.775,0.144,"149,000,000","119,000,000",30
Mandarin duck,2.244,0.432,"149,709,000","168,231,000",529.045
Cape Barren goose,4.866,1.073,"160,216,000","276,278,000",5204.75
Crested duck,2.857,0.666,"160,907,000","312,544,000",823.6
Eurasian teal,1.62,0.3163,"167,287,000","163,461,000",284.85
White-cheeked pintail,2.246,0.465,"168,674,000","213,112,000",458.4
Northern shoveler,2.017,0.453,"181,830,000","246,016,000",621.15
American kestrel,1.315,0.308,"182,502,000","214,534,000",108.02
Red-legged seriema,4.546,1.109,"219,569,000","529,815,000",1732.3
Western marsh harrier,2.824,0.661,"224,467,000","352,456,000",478.5
Common starling,1.144,0.193,"226,000,000","193,000,000",74
Northern goshawk,3.931,1.186,"228,227,000","472,933,000",800.6
Common kestrel,1.88,0.5032,"237,903,000","312,406,000",204.33
Muscovy duck,4.235,0.768,"248,163,000","211,760,000",2009.3
Cockatiel,1.368,0.196,"258,000,000","129,000,000",90
Greylag goose,6.71,1.226,"258,650,000","420,729,000",2943.93
Steppe eagle,7.15,1.697,"288,470,000","682,506,000",3350
Black kite,3.715,0.876,"301,980,000","426,176,000",835.7
Mute swan,8.06,2.097,"323,661,000","607,105,000",9845
Greater rhea,12.61,3.066,"330,342,000","610,090,000",31900
Eastern rosella,1.705,0.23,"333,000,000","212,000,000",104
Common buzzard,4.22,1.052,"351,700,000","510,277,000",749
Eurasian pygmy owl,2.21,0.228,"364,000,000","127,650,000",67.2
Canada goose,6.315,1.181,"379,833,000","440,299,000",4219.167
Swan goose,6.3,1.218,"381,096,000","445,189,000",4002.9
Eurasian scops owl,1.193,0.203,"385,088,000","133,901,000",114.09
Monk parakeet,2.24,0.281,"396,000,000","195,000,000",81.7
Peregrine falcon,3.787,1.062,"396,060,000","548,548,000",672.8
Black vulture,5.93,1.3985,"398,899,000","512,097,000",1747
Azure-winged magpie,2.218,0.271,"399,695,000","243,490,000",84.11
Little owl,2.99,0.3585,"400,822,000","134,013,000",169.56
Common hill myna,2.161,0.367,"410,330,000","365,738,000",262.075
Barn owl,3.852,0.51,"437,000,000","214,000,000",580
Emu,12.979,3.399,"439,000,000","814,000,000",38925
Saker falcon,4.12,1.1971,"442,946,000","645,740,000",1006
Eurasian magpie,3.714,0.453,"443,000,000","349,000,000",178
Common ostrich,25.58,5.8009,"479,410,000","1,059,572,000",120050
Western jackdaw,4.165,0.483,"492,000,000","375,000,000",246
Eurasian jay,2.854,0.411,"529,000,000","429,000,000",159.7
White-tailed eagle,12.54,2.3578,"542,926,000","983,667,000",5228.2
Alexandrine parakeet,3.657,0.506,"575,000,000","361,000,000",255
Tanimbar corella,5.502,0.571,"599,000,000","413,000,000",275
Striated caracara,6.847,1.136,"663,372,000","592,281,000",1426.6
Boreal owl,2.902,0.349,"663,908,000","206,170,000",113.12
Long-eared owl,3.84,0.4746,"673,000,000","261,386,000",248.06
Rook,5.769,0.657,"820,000,000","536,000,000",453.5
Morepork,3.846,0.515,"823,855,000","280,175,000",274.9
Grey parrot,5.941,0.638,"850,000,000","387,000,000",333
Sulphur-crested cockatoo,6.767,0.836,"1,135,000,000","588,000,000",800
Tawny owl,6.49,0.6228,"1,153,000,000","334,017,000",549.67
Raven,10.195,1.145,"1,204,000,000","753,000,000",1041
Snowy owl,13.48,1.2854,"1,270,000,000","452,880,000",1770
Kea,9.483,0.825,"1,281,000,000","481,000,000",867.5
