,Animal,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m
0,Namaqua dove,0.24,0.087,0.555,14167000.0,59533000.0,94490000.0,31.85,43.24324324324324,15.675675675675674,14.9931209651815,63.0045507461107,59029.166666666664,684287.356321839,170252.25225225225,444803.7676609105,1869167.9748822604,2966718.9952904237
1,Common ground dove,0.246,0.075,0.572,17602000.0,51380000.0,89630000.0,35.277,43.006993006993014,13.111888111888112,19.638513890438468,57.32455651009707,71552.84552845529,685066.6666666666,156695.8041958042,498965.3315191201,1456473.0560988747,2540748.929897667
2,Diamond dove,0.24,0.0776,0.545,18209000.0,54101000.0,87879000.0,39.93,44.03669724770642,14.238532110091743,20.72053619180919,61.56305829606619,75870.83333333333,697177.8350515463,161245.87155963303,456023.040320561,1354896.0681192086,2200826.4462809917
3,King quail,0.22,0.0717,0.521,20523000.0,42945000.0,80478000.0,43.81,42.226487523992326,13.761996161228407,25.501379258927905,53.36240960262432,93286.36363636363,598953.9748953974,154468.330134357,468454.6907098836,980255.6493951152,1836977.8589363159
4,Common quail,0.36,0.109,0.787,22568000.0,75198000.0,117760000.0,94.86,45.7433290978399,13.850063532401524,19.164402173913043,63.856997282608695,62688.88888888889,689889.9082568807,149631.5120711563,237908.49673202613,792726.1227071474,1241408.3913135147
5,Common emerald dove,0.494,0.176,1.126,27148000.0,109818000.0,168489000.0,119.64,43.8721136767318,15.630550621669629,16.112624563027854,65.1781421932589,54955.465587044535,623965.9090909091,149634.99111900534,226914.07556001339,917903.7111334002,1408299.8996990973
6,Common bronzewing,0.869,0.257,1.848,34077000.0,145208000.0,216703000.0,306.025,47.023809523809526,13.906926406926406,15.725209157233632,67.00784022371633,39214.03912543153,565011.6731517509,117263.52813852814,111353.64757781228,474497.1816028103,708121.8854668736
7,Pink-necked green pigeon,0.645,0.2,1.339,34357000.0,114792000.0,174476000.0,128.85,48.170276325616136,14.936519790888724,19.691533506040944,65.79242990439947,53266.666666666664,573960.0,130303.21135175505,266643.3837795887,890896.391152503,1354101.6686069074
8,Grey partridge,0.74,0.2071,1.565,36882000.0,107546000.0,170287000.0,337.33,47.284345047923324,13.233226837060705,21.65872908677703,63.15573120672746,49840.54054054054,519295.02655721875,108809.58466453674,109335.07248095337,318815.403314262,504808.3479085762
9,Northern bobwhite,0.51,0.1471,1.124,39112000.0,80021000.0,148399000.0,181.08,45.37366548042704,13.087188612099643,26.355972749142513,53.922870100202836,76690.19607843137,543990.4826648538,132027.58007117437,215992.93130108237,441909.6531919593,819521.7583388557
