,Animal,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m
0,African sheath-tailed bat,0.0899,0.054,0.244,5080000.0,47984000.0,58580000.0,11.5,36.84426229508196,22.131147540983605,8.671901672925914,81.91191532946398,56507.23025583983,888592.5925925926,240081.96721311475,441739.1304347826,4172521.7391304346,5093913.043478261
1,Little free-tailed bat,0.084,0.036,0.208,5632000.0,25324000.0,34958000.0,5.4,40.384615384615394,17.307692307692307,16.110761485210826,72.4412151724927,67047.61904761905,703444.4444444445,168067.3076923077,1042962.9629629629,4689629.62962963,6473703.703703703
2,Rufous trident bat,0.093,0.072,0.251,6039000.0,59651000.0,69763000.0,13.7,37.05179282868526,28.685258964143422,8.656451127388443,85.50521049840172,64935.48387096774,828486.1111111111,277940.2390438247,440802.9197080292,4354087.591240876,5092189.781021898
3,Common bent-wing bat,0.0858,0.0485,0.219,6116000.0,44447000.0,55659000.0,11.6,39.178082191780824,22.14611872146119,10.988339711457266,79.85590829874774,71282.05128205128,916432.9896907216,254150.68493150684,527241.3793103448,3831637.931034483,4798189.655172414
4,Naked mole-rat,0.184,0.048,0.392,6150000.0,15740000.0,26880000.0,35.3,46.93877551020408,12.244897959183673,22.879464285714285,58.55654761904761,33423.913043478264,327916.6666666667,68571.42857142857,174220.96317280454,445892.35127478756,761473.087818697
5,Commerson's roundleaf bat,0.243,0.107,0.588,7877000.0,51875000.0,66719000.0,101.9,41.3265306122449,18.197278911564627,11.806232107795381,77.75146509989658,32415.637860082305,484813.08411214955,113467.68707482993,77301.27576054956,509077.52698724234,654749.7546614327
6,Smoky shrew,0.084,0.02,0.176,9730000.0,20870000.0,36460000.0,7.5,47.727272727272734,11.363636363636365,26.686780032912782,57.240811848601204,115833.33333333333,1043500.0,207159.0909090909,1297333.3333333333,2782666.6666666665,4861333.333333333
7,Heart-nosed bat,0.257,0.103,0.562,10221000.0,63792000.0,81331000.0,26.0,45.72953736654804,18.327402135231313,12.567163812076576,78.43503707073563,39770.428015564205,619339.8058252428,144717.0818505338,393115.3846153846,2453538.4615384615,3128115.3846153845
8,Short-palated fruit bat,0.461,0.127,0.892,10471000.0,77445000.0,99016000.0,27.0,51.681614349775785,14.237668161434977,10.575058576391694,78.21463197867011,22713.665943600867,609803.1496062992,111004.48430493273,387814.81481481483,2868333.3333333335,3667259.2592592593
9,Northern short-tailed shrew,0.197,0.037,0.347,11876000.0,33430000.0,55190000.0,21.6,56.772334293948134,10.662824207492795,21.518391012864647,60.572567494111254,60284.26395939086,903513.5135135135,159048.99135446685,549814.8148148148,1547685.1851851852,2555092.5925925924
10,Woermann's bat,0.309,0.079,0.55,11897000.0,49734000.0,65728000.0,17.9,56.18181818181818,14.363636363636362,18.100352969814995,75.66638266796495,38501.61812297734,629544.3037974683,119505.45454545454,664636.8715083799,2778435.7541899444,3671955.30726257
11,Zenker's fruit bat,0.323,0.085,0.588,12847000.0,47217000.0,65595000.0,16.1,54.93197278911565,14.455782312925173,19.5853342480372,71.98262062657214,39773.993808049534,555494.1176470588,111556.12244897959,797950.3105590062,2932732.9192546583,4074223.6024844716
12,House mouse,0.173,0.056,0.402,13690000.0,42220000.0,67870000.0,20.5,43.034825870646756,13.930348258706468,20.170914984529247,62.20716074848976,79132.94797687861,753928.5714285715,168830.8457711443,667804.8780487805,2059512.1951219512,3310731.7073170734
13,Hairy-tailed mole,0.429,0.102,0.759,15690000.0,100780000.0,123600000.0,62.5,56.52173913043478,13.438735177865613,12.694174757281553,81.53721682847896,36573.42657342657,988039.2156862745,162845.84980237155,251040.0,1612480.0,1977600.0
14,Golden hamster,0.446,0.145,0.965,17140000.0,61210000.0,84220000.0,105.0,46.21761658031088,15.025906735751295,20.35146046069817,72.67869864640228,38430.4932735426,422137.9310344828,87274.61139896372,163238.09523809524,582952.380952381,802095.2380952381
15,Star-nosed mole,0.42,0.138,0.802,17250000.0,105920000.0,131300000.0,55.3,52.36907730673316,17.206982543640898,13.137852246763138,80.67022086824068,41071.42857142857,767536.231884058,163715.71072319202,311934.9005424955,1915370.705244123,2374321.880650995
16,Grey mouse lemur,0.908,0.391,1.799,22310000.0,221380000.0,254710000.0,64.8,50.47248471372985,21.734296831573097,8.758980801696046,86.91453025008833,24570.484581497796,566189.2583120205,141584.21345191772,344290.1234567901,3416358.024691358,3930709.87654321
17,Franquet's epauletted fruit bat,1.04,0.286,2.044,22533000.0,150660000.0,186002000.0,120.0,50.88062622309197,13.992172211350292,12.114385866818637,80.9991290416232,21666.346153846152,526783.2167832168,90999.02152641879,187775.0,1255500.0,1550016.6666666667
18,Hammer-headed bat,1.805,0.456,3.459,24343000.0,221298000.0,274519000.0,310.0,52.18271176640648,13.183000867302688,8.867510081269419,80.61299946451794,13486.426592797783,485302.63157894736,79363.68892743568,78525.80645161291,713864.5161290322,885545.1612903225
19,Cayenne spiny rat,0.924,0.33,2.078,26090000.0,162510000.0,202090000.0,356.5,44.46583253128008,15.880654475457174,12.91008956405562,80.41466673264387,28235.930735930735,492454.54545454547,97252.16554379211,73183.73071528751,455848.5273492286,566872.3702664797
20,Wahlberg's epauletted fruit bat,0.634,0.193,1.224,26201000.0,121136000.0,161755000.0,74.0,51.79738562091504,15.76797385620915,16.19795369540354,74.88856604123521,41326.49842271293,627647.6683937823,132152.77777777778,354067.5675675676,1636972.972972973,2185878.378378378
21,Eastern mole,0.476,0.153,0.999,26680000.0,158550000.0,203500000.0,90.0,47.647647647647645,15.315315315315313,13.110565110565112,77.91154791154791,56050.42016806723,1036274.5098039216,203703.7037037037,296444.44444444444,1761666.6666666667,2261111.111111111
22,Egyptian fruit bat,0.985,0.219,1.778,28859000.0,132436000.0,172232000.0,120.0,55.39932508436445,12.317210348706412,16.75588740768266,76.89395698824842,29298.477157360405,604730.5936073059,96868.39145106862,240491.66666666666,1103633.3333333333,1435266.6666666667
23,Brown rat,0.769,0.272,1.724,31020000.0,139170000.0,188870000.0,300.0,44.60556844547564,15.77726218097448,16.423995340710544,73.6856038545031,40338.10143042913,511654.4117647059,109553.36426914153,103400.0,463900.0,629566.6666666666
24,Four-toed elephant shrew,1.239,0.304,2.44,33947000.0,110650000.0,156830000.0,210.0,50.778688524590166,12.459016393442624,21.645731046355927,70.55410316903654,27398.708635996773,363980.2631578947,64274.59016393442,161652.38095238095,526904.7619047619,746809.5238095238
25,Ferret,3.123,0.92,5.429,38950000.0,351260000.0,404430000.0,809.0,57.524405967949896,16.94603057653343,9.630838464011077,86.8531018964963,12471.982068523856,381804.347826087,74494.38202247191,48145.85908529048,434190.3584672435,499913.47342398023
26,Guinea pig,1.938,0.5,3.656,43510000.0,167850000.0,233560000.0,728.0,53.008752735229756,13.676148796498905,18.629046069532453,71.86590169549581,22450.980392156864,335700.0,63884.02625820569,59766.48351648352,230563.18681318683,320824.1758241758
27,Common tree shrew,1.455,0.326,2.752,60390000.0,185280000.0,261400000.0,200.0,52.87063953488372,11.84593023255814,23.102524866105586,70.87987758224943,41505.154639175256,568343.5582822086,94985.46511627907,301950.0,926400.0,1307000.0
28,European rabbit,4.448,1.412,9.132,71450000.0,396670000.0,494200000.0,1800.0,48.7078405606658,15.462111257117828,14.457709429380817,80.2650748684743,16063.399280575539,280927.76203966007,54117.3893999124,39694.444444444445,220372.22222222222,274555.55555555556
29,Eastern grey squirrel,2.73,0.874,5.548,77330000.0,342830000.0,453660000.0,533.0,49.20692141312185,15.753424657534246,17.045805228585284,75.56980998986025,28326.007326007326,392254.00457665906,81770.00720980534,145084.4277673546,643208.2551594747,851144.4652908067
30,Black-rumped agouti,8.913,2.742,17.628,110640000.0,673490000.0,827330000.0,2843.3,50.56160653505787,15.554799183117767,13.37314010128969,81.40524337326097,12413.328845506563,245619.98541210796,46932.720671658724,38912.53121373052,236869.1309394014,290975.2752083846
31,Banded mongoose,9.29,1.548,14.292,115770000.0,315740000.0,454020000.0,1332.0,65.00139938427093,10.831234256926953,25.498876701466894,69.54319192987093,12461.786867599569,203966.40826873385,31767.422334172963,86914.41441441441,237042.04204204204,340855.85585585586
32,Rock hyrax,10.478,2.058,16.853,197930000.0,488370000.0,755650000.0,3600.0,62.1729069008485,12.21147570165549,26.193343479123932,64.62912724144776,18890.055354075204,237303.20699708455,44837.71435352756,54980.555555555555,135658.33333333334,209902.77777777778
