Animal,Forebrain m,Cerebellum m,Forebrain n,Cerebellum n,Body m
,,,,,
African sheath-tailed bat,0.0899,0.054,"5,080,000","47,984,000",11.5
Little free-tailed bat,0.084,0.036,"5,632,000","25,324,000",5.4
Rufous trident bat,0.093,0.072,"6,039,000","59,651,000",13.7
Common bent-wing bat,0.0858,0.0485,"6,116,000","44,447,000",11.6
Naked mole-rat,0.184,0.048,"6,150,000","15,740,000",35.3
Commerson's roundleaf bat,0.243,0.107,"7,877,000","51,875,000",101.9
Smoky shrew,0.084,0.02,"9,730,000","20,870,000",7.5
Heart-nosed bat,0.257,0.103,"10,221,000","63,792,000",26
Short-palated fruit bat,0.461,0.127,"10,471,000","77,445,000",27
Northern short-tailed shrew,0.197,0.037,"11,876,000","33,430,000",21.6
Woermann's bat,0.309,0.079,"11,897,000","49,734,000",17.9
Zenker's fruit bat,0.323,0.085,"12,847,000","47,217,000",16.1
House mouse,0.173,0.056,"13,690,000","42,220,000",20.5
Namaqua dove,0.24,0.087,"14,167,000","59,533,000",31.85
Hairy-tailed mole,0.429,0.102,"15,690,000","100,780,000",62.5
Golden hamster,0.446,0.145,"17,140,000","61,210,000",105
Star-nosed mole,0.42,0.138,"17,250,000","105,920,000",55.3
Common ground dove,0.246,0.075,"17,602,000","51,380,000",35.277
Diamond dove,0.24,0.0776,"18,209,000","54,101,000",39.93
King quail,0.22,0.0717,"20,523,000","42,945,000",43.81
Grey mouse lemur,0.908,0.391,"22,310,000","221,380,000",64.8
Franquet's epauletted fruit bat,1.04,0.286,"22,533,000","150,660,000",120
Common quail,0.36,0.109,"22,568,000","75,198,000",94.86
Hammer-headed bat,1.805,0.456,"24,343,000","221,298,000",310
Cayenne spiny rat,0.924,0.33,"26,090,000","162,510,000",356.5
Wahlberg's epauletted fruit bat,0.634,0.193,"26,201,000","121,136,000",74
Eastern mole,0.476,0.153,"26,680,000","158,550,000",90
Common emerald dove,0.494,0.176,"27,148,000","109,818,000",119.64
Egyptian fruit bat,0.985,0.219,"28,859,000","132,436,000",120
Brown rat,0.769,0.272,"31,020,000","139,170,000",300
Four-toed elephant shrew,1.239,0.304,"33,947,000","110,650,000",210
Common bronzewing,0.869,0.257,"34,077,000","145,208,000",306.025
Pink-necked green pigeon,0.645,0.2,"34,357,000","114,792,000",128.85
Grey partridge,0.74,0.2071,"36,882,000","107,546,000",337.33
Ferret,3.123,0.92,"38,950,000","351,260,000",809
Northern bobwhite,0.51,0.1471,"39,112,000","80,021,000",181.08
African collared dove,0.51,0.1404,"39,997,000","72,381,000",137.25
Guinea pig,1.938,0.5,"43,510,000","167,850,000",728
Silver-tipped imperial pigeon,1.449,0.434,"47,331,000","210,346,000",456.4
Quebrach crested tinamou,0.88,0.2526,"48,292,000","146,230,000",475.75
Red-legged partridge,1.055,0.243,"50,185,000","108,889,000",459.667
Common wood pigeon,1.28,0.4016,"51,325,000","164,834,000",468.33
Elegant crested tinamou,1,0.2734,"51,384,000","129,548,000",502.95
Eurasian blackcap,0.454,0.084,"52,000,000","76,000,000",16.7
California quail,0.607,0.194,"52,490,000","92,319,000",199.6
Speckled pigeon,0.897,0.316,"53,884,000","161,142,000",262.94
Tetrao tetrix,1.562,0.48,"54,079,000","176,651,000",897.8
Black francolin,0.825,0.224,"54,209,000","139,932,000",368.6
Zebra finch,0.277,0.056,"55,000,000","56,000,000",12
Black-naped fruit dove,0.692,0.203,"55,673,000","115,880,000",99.55
Chilean tinamou,0.82,0.2376,"59,130,000","136,461,000",388.7
Luzon bleeding-heart,0.688,0.221,"59,161,000","134,425,000",199.2
Red junglefowl,1.335,0.369,"60,000,000","114,000,000",779.8
Common tree shrew,1.455,0.326,"60,390,000","185,280,000",200
Goldcrest,0.176,0.04,"64,000,000","66,000,000",5.6
European rabbit,4.448,1.412,"71,450,000","396,670,000",1800
Rock dove,0.915,0.332,"72,000,000","197,000,000",358.7
Common pheasant,1.898,0.451,"76,278,000","194,341,000",1221.667
Eastern grey squirrel,2.73,0.874,"77,330,000","342,830,000",533
Reeves's pheasant,1.7,0.5158,"80,688,000","245,720,000",1119
Great tit,0.58,0.09,"83,000,000","108,000,000",17.9
Eurasian sparrowhawk,1.28,0.4795,"87,832,000","253,630,000",162.4
Green-rumped parrotled,0.715,0.098,"103,000,000","89,600,000",24
Wild turkey,2.89,0.8564,"105,654,000","315,741,000",3453.33
Black-rumped agouti,8.913,2.742,"110,640,000","673,490,000",2843.3
Mallard,3.6,0.6496,"112,255,000","220,314,000",1361.67
Australian wood duck,2.282,0.597,"112,604,000","245,364,000",613.8
Eurasian wigeon,2.462,0.45,"113,159,000","151,783,000",636.8
Banded mongoose,9.29,1.548,"115,770,000","315,740,000",1332
Victoria crowned pigeon,2.94,0.8918,"118,445,000","405,518,000",1375.4
Ruddy shelduck,2.805,0.829,"119,202,000","264,298,000",1257.967
Yellow-Knobbed Curassow,4.92,1.184,"124,624,000","472,677,000",2448.6
Baikal teal,1.891,0.413,"129,036,000","151,217,000",449.05
Indian peafowl,3.15,0.8543,"129,621,000","374,518,000",3599.2
Lake duck,2.304,0.445,"129,874,000","112,566,000",551.15
Marbled duck,2.04,0.433,"130,142,000","213,841,000",452.2
Pygmy falcon,0.86,0.2106,"131,898,000","155,402,000",63.91
Helmeted guineafowl,1.852,0.494,"132,459,000","253,934,000",1703.9
Wandering whistling duck,2.701,0.616,"134,286,000","220,818,000",806.95
Common blackbird,1.091,0.213,"136,000,000","186,000,000",103.2
Wood duck,2.26,0.4028,"138,206,000","133,108,000",649.3
Smew,2.108,0.542,"140,265,000","256,227,000",513.55
Red kite,3.831,0.863,"145,561,000","403,410,000",843.4
Montagu's harrier,2.218,0.644,"148,326,000","348,250,000",243
Red-breasted goose,2.7,0.7371,"148,617,000","285,407,000",1042.3
Budgerigar,0.775,0.144,"149,000,000","119,000,000",30
Mandarin duck,2.244,0.432,"149,709,000","168,231,000",529.045
Cape Barren goose,4.866,1.073,"160,216,000","276,278,000",5204.75
Crested duck,2.857,0.666,"160,907,000","312,544,000",823.6
Eurasian teal,1.62,0.3163,"167,287,000","163,461,000",284.85
White-cheeked pintail,2.246,0.465,"168,674,000","213,112,000",458.4
Northern shoveler,2.017,0.453,"181,830,000","246,016,000",621.15
American kestrel,1.315,0.308,"182,502,000","214,534,000",108.02
Rock hyrax,10.478,2.058,"197,930,000","488,370,000",3600
Red-legged seriema,4.546,1.109,"219,569,000","529,815,000",1732.3
Western marsh harrier,2.824,0.661,"224,467,000","352,456,000",478.5
Common starling,1.144,0.193,"226,000,000","193,000,000",74
Northern greater galago,6.29,1.196,"226,090,000","743,500,000",1300
Northern goshawk,3.931,1.186,"228,227,000","472,933,000",800.6
Common kestrel,1.88,0.5032,"237,903,000","312,406,000",204.33
Raccoon dog,15.53,3.26,"240,180,000","844,740,000",8545
Common marmoset,5.561,0.73,"244,720,000","361,370,000",255.2
Muscovy duck,4.235,0.768,"248,163,000","211,760,000",2009.3
House cat,24.176,5.11,"249,830,000","942,900,000",3900
Brown bear,222,45.106,"250,970,000","9,253,000,000",277500
Cockatiel,1.368,0.196,"258,000,000","129,000,000",90
Greylag goose,6.71,1.226,"258,650,000","420,729,000",2943.93
Steppe eagle,7.15,1.697,"288,470,000","682,506,000",3350
Black kite,3.715,0.876,"301,980,000","426,176,000",835.7
Capybara,48.175,6.632,"306,500,000","1,157,000,000",55000
Domestic pig,42.404,8.128,"307,082,000","1,858,000,000",130000
Mute swan,8.06,2.097,"323,661,000","607,105,000",9845
Greater rhea,12.61,3.066,"330,342,000","610,090,000",31900
Eastern rosella,1.705,0.23,"333,000,000","212,000,000",104
Common buzzard,4.22,1.052,"351,700,000","510,277,000",749
Red fox,24.41,4.823,"355,010,000","1,640,000,000",5490
Eurasian pygmy owl,2.21,0.228,"364,000,000","127,650,000",67.2
Canada goose,6.315,1.181,"379,833,000","440,299,000",4219.167
Swan goose,6.3,1.218,"381,096,000","445,189,000",4002.9
Eurasian scops owl,1.193,0.203,"385,088,000","133,901,000",114.09
Golden jackal,34.88,4.97,"393,620,000","1,218,000,000",9200
Monk parakeet,2.24,0.281,"396,000,000","195,000,000",81.7
Peregrine falcon,3.787,1.062,"396,060,000","548,548,000",672.8
Springbok,68.806,11.458,"396,900,000","2,257,000,000",39000
Black vulture,5.93,1.3985,"398,899,000","512,097,000",1747
Azure-winged magpie,2.218,0.271,399.695.000,243.490.000,84.11
Little owl,2.99,0.3585,"400,822,000","134,013,000",169.56
Common hill myna,2.161,0.367,"410,330,000","365,738,000",262.075
Barn owl,3.852,0.51,"437,000,000","214,000,000",580
Raccoon,24.491,3.338,"437,940,000","1,646,000,000",6000
Emu,12.979,3.399,"439,000,000","814,000,000",38925
West highland white trrier (dog),46.56,7.342,"440,160,000","2,187,000,000",9400
Three-striped night monkey,10.617,1.732,"441,900,000","1,040,000,000",800
Saker falcon,4.12,1.1971,"442,946,000","645,740,000",1006
Eurasian magpie,3.714,0.453,"443,000,000","349,000,000",178
Chow chow (dog),39.74,7.82,"471,500,000","1,969,000,000",26000
Common ostrich,25.58,5.8009,"479,410,000","1,059,572,000",120050
Western jackdaw,4.165,0.483,"492,000,000","375,000,000",246
Striped hyena,67.45,14.032,"495,280,000","3,330,000,000",40000
Chihuahua (dog),32.48,5.06,"513,330,000","1,819,000,000",4000
Domestic dog,65.491,7.512,"527,910,000","1,676,000,000",19700
Eurasian jay,2.854,0.411,"529,000,000","429,000,000",159.7
White-tailed eagle,12.54,2.3578,"542,926,000","983,667,000",5228.2
Lion,139.902,24.882,"545,240,000","4,049,000,000",175000
Blesbok,111.31,13.402,"570,670,000","2,401,000,000",84500
Yorkshire terrier (dog),38.74,6.063,"572,140,000","1,811,000,000",7600
Alexandrine parakeet,3.657,0.506,"575,000,000","361,000,000",255
Tanimbar corella,5.502,0.571,"599,000,000","413,000,000",275
Striated caracara,6.847,1.136,"663,372,000","592,281,000",1426.6
Boreal owl,2.902,0.349,"663,908,000","206,170,000",113.12
Long-eared owl,3.84,0.4746,"673,000,000","261,386,000",248.06
Transylvanian hound (dog),81.3,11.189,"725,760,000","3,413,000,000",31500
Greater kudu,213.37,31.776,"762,000,000","4,042,000,000",217500
Long-tailed macaque,36.226,5.642,"800,960,000","2,572,000,000",6363
Rook,5.769,0.657,"820,000,000","536,000,000",453.5
Morepork,3.846,0.515,"823,855,000","280,175,000",274.9
Beagle (dog),53.11,10.938,"844,410,000","3,222,000,000",12300
Grey parrot,5.941,0.638,"850,000,000","387,000,000",333
Komondor (dog),97.75,15.752,"883,380,000","2,912,000,000",48400
German shepherd (dog),70.37,9.752,"885,460,000","2,454,000,000",44400
Sulphur-crested cockatoo,6.767,0.836,"1,135,000,000","588,000,000",800
Brown capuchin,39.178,4.6,"1,140,000,000","2,490,000,000",2643
Tawny owl,6.49,0.6228,"1,153,000,000","334,017,000",549.67
Raven,10.195,1.145,"1,204,000,000","753,000,000",1041
Snowy owl,13.48,1.2854,"1,270,000,000","452,880,000",1770
Kea,9.483,0.825,"1,281,000,000","481,000,000",867.5
Northern hawk-owl,5.311,0.554,"1,308,000,000","299,621,000",300.4
Eurasian eagle-owl,11.72,1.2078,"1,328,000,000","471,871,000",2342.33
Common squirrel monkey,20.652,4.3,"1,340,000,000","1,820,000,000",925
Bonnet macaque,48.274,5.748,"1,655,000,000","2,038,000,000",6755
Great grey owl,10.969,1.025,"1,700,000,000","495,827,000",1013.3
Rhesus macaque,69.832,7.694,"1,710,000,000","4,550,000,000",8235
Giraffe,398.808,67.73,"1,731,000,000","8,878,000,000",800000
Blue and yellow macaw,14.377,1.245,"1,916,000,000","633,000,000",1030
Harbour porpoise,382.77,106.14,"2,770,000,000","23,400,000,000",52500
Yellow baboon,120.214,13.745,"2,875,000,000","7,794,000,000",20000
African elephant,2847,1171,"5,593,000,000","250,700,000,000",4800000
Human,1232,154.02,"16,340,000,000","69,030,000,000",62035
