Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m
,,,,,,,,,
Namaqua dove,Columbiformes,Columbidae,0.24,0.087,0.555,"14,167,000","59,533,000","94,490,000",31.85
Common ground dove,Columbiformes,Columbidae,0.246,0.075,0.572,"17,602,000","51,380,000","89,630,000",35.277
Diamond dove,Columbiformes,Columbidae,0.24,0.0776,0.545,"18,209,000","54,101,000","87,879,000",39.93
King quail,Galliformes,Phasianidae,0.22,0.0717,0.521,"20,523,000","42,945,000","80,478,000",43.81
Common quail,Galliformes,Phasianidae,0.36,0.109,0.787,"22,568,000","75,198,000","117,760,000",94.86
Common emerald dove,Columbiformes,Columbidae,0.494,0.176,1.126,"27,148,000","109,818,000","168,489,000",119.64
Common bronzewing,Columbiformes,Columbidae,0.869,0.257,1.848,"34,077,000","145,208,000","216,703,000",306.025
Pink-necked green pigeon,Columbiformes,Columbidae,0.645,0.2,1.339,"34,357,000","114,792,000","174,476,000",128.85
Grey partridge,Galliformes,Phasianidae,0.74,0.2071,1.565,"36,882,000","107,546,000","170,287,000",337.33
Northern bobwhite,Galliformes,Odontophoridae,0.51,0.1471,1.124,"39,112,000","80,021,000","148,399,000",181.08
African collared dove,Columbiformes,Columbidae,0.51,0.1404,1.077,"39,997,000","72,381,000","139,271,000",137.25
Silver-tipped imperial pigeon,Columbiformes,Columbidae,1.449,0.434,2.915,"47,331,000","210,346,000","293,494,000",456.4
Quebrach crested tinamou,Struthioniformes,Tinamidae,0.88,0.2526,1.84,"48,292,000","146,230,000","235,671,000",475.75
Red-legged partridge,Galliformes,Phasianidae,1.055,0.243,2.091,"50,185,000","108,889,000","197,176,000",459.667
Common wood pigeon,Columbiformes,Columbidae,1.28,0.4016,2.671,"51,325,000","164,834,000","258,681,000",468.33
Elegant crested tinamou,Struthioniformes,Tinamidae,1,0.2734,1.996,"51,384,000","129,548,000","217,768,000",502.95
Eurasian blackcap,Passeriformes,Sylviidae,0.454,0.084,0.774,"52,000,000","76,000,000","156,728,000",16.7
California quail,Galliformes,Odontophoridae,0.607,0.194,1.256,"52,490,000","92,319,000","172,388,000",199.6
Speckled pigeon,Columbiformes,Columbidae,0.897,0.316,1.944,"53,884,000","161,142,000","258,217,000",262.94
Tetrao tetrix,Galliformes,Phasianidae,1.562,0.48,3.375,"54,079,000","176,651,000","280,868,000",897.8
Black francolin,Galliformes,Phasianidae,0.825,0.224,1.755,"54,209,000","139,932,000","232,541,000",368.6
Zebra finch,Passeriformes,Estrildidae,0.277,0.056,0.494,"55,000,000","56,000,000","135,976,000",12
Black-naped fruit dove,Columbiformes,Columbidae,0.692,0.203,1.447,"55,673,000","115,880,000","205,810,000",99.55
Chilean tinamou,Struthioniformes,Tinamidae,0.82,0.2376,1.744,"59,130,000","136,461,000","241,374,000",388.7
Luzon bleeding-heart,Columbiformes,Columbidae,0.688,0.221,1.569,"59,161,000","134,425,000","236,600,000",199.2
Red junglefowl,Galliformes,Phasianidae,1.335,0.369,2.819,"60,000,000","114,000,000","220,840,000",779.8
Goldcrest,Passeriformes,Regulidae,0.176,0.04,0.357,"64,000,000","66,000,000","163,874,000",5.6
Rock dove,Columbiformes,Columbidae,0.915,0.332,2.095,"72,000,000","197,000,000","309,958,000",358.7
Common pheasant,Galliformes,Phasianidae,1.898,0.451,3.845,"76,278,000","194,341,000","321,361,000",1221.667
Reeves's pheasant,Galliformes,Phasianidae,1.7,0.5158,3.691,"80,688,000","245,720,000","387,173,000",1119
Great tit,Passeriformes,Paridae,0.58,0.09,0.94,"83,000,000","108,000,000","225,982,000",17.9
Eurasian sparrowhawk,Accipitriformes,Accipitridae,1.28,0.4795,2.739,"87,832,000","253,630,000","401,751,000",162.4
Green-rumped parrotled,Psittaciformes,Psittacidae,0.715,0.098,1.146,"103,000,000","89,600,000","227,204,000",24
Wild turkey,Galliformes,Phasianidae,2.89,0.8564,6.041,"105,654,000","315,741,000","492,873,000",3453.33
Mallard,Anseriformes,Anatidae,3.6,0.6496,5.541,"112,255,000","220,314,000","367,466,000",1361.67
Australian wood duck,Anseriformes,Anatidae,2.282,0.597,4.007,"112,604,000","245,364,000","390,858,000",613.8
Eurasian wigeon,Anseriformes,Anatidae,2.462,0.45,3.973,"113,159,000","151,783,000","285,523,000",636.8
Victoria crowned pigeon,Columbiformes,Columbidae,2.94,0.8918,5.899,"118,445,000","405,518,000","578,697,000",1375.4
Ruddy shelduck,Anseriformes,Anatidae,2.805,0.829,5.273,"119,202,000","264,298,000","421,445,000",1257.967
Yellow-Knobbed Curassow,Galliformes,Cracidae,4.92,1.184,9.02,"124,624,000","472,677,000","652,989,000",2448.6
Baikal teal,Anseriformes,Anatidae,1.891,0.413,3.244,"129,036,000","151,217,000","300,240,000",449.05
Indian peafowl,Galliformes,Phasianidae,3.15,0.8543,6.194,"129,621,000","374,518,000","570,934,000",3599.2
Lake duck,Anseriformes,Anatidae,2.304,0.445,3.872,"129,874,000","112,566,000","300,059,000",551.15
Marbled duck,Anseriformes,Anatidae,2.04,0.433,3.503,"130,142,000","213,841,000","386,920,000",452.2
Pygmy falcon,Falconiformes,Falconidae,0.86,0.2106,1.628,"131,898,000","155,402,000","350,367,000",63.91
Helmeted guineafowl,Galliformes,Numididae,1.852,0.494,3.747,"132,459,000","253,934,000","447,116,000",1703.9
Wandering whistling duck,Anseriformes,Anatidae,2.701,0.616,4.533,"134,286,000","220,818,000","398,626,000",806.95
Common blackbird,Passeriformes,Turdidae,1.091,0.213,1.887,"136,000,000","186,000,000","379,413,000",103.2
Wood duck,Anseriformes,Anatidae,2.26,0.4028,3.853,"138,206,000","133,108,000","305,816,000",649.3
Smew,Anseriformes,Anatidae,2.108,0.542,3.717,"140,265,000","256,227,000","438,961,000",513.55
Red kite,Accipitriformes,Accipitridae,3.831,0.863,6.568,"145,561,000","403,410,000","639,483,000",843.4
Montagu's harrier,Accipitriformes,Accipitridae,2.218,0.644,4.361,"148,326,000","348,250,000","577,353,000",243
Red-breasted goose,Anseriformes,Anatidae,2.7,0.7371,4.788,"148,617,000","285,407,000","482,705,000",1042.3
Budgerigar,Psittaciformes,Psittaculidae,0.775,0.144,1.317,"149,000,000","119,000,000","321,822,000",30
Mandarin duck,Anseriformes,Anatidae,2.244,0.432,3.763,"149,709,000","168,231,000","354,952,000",529.045
Cape Barren goose,Anseriformes,Anatidae,4.866,1.073,7.909,"160,216,000","276,278,000","462,304,000",5204.75
Crested duck,Anseriformes,Anatidae,2.857,0.666,4.935,"160,907,000","312,544,000","517,733,000",823.6
Eurasian teal,Anseriformes,Anatidae,1.62,0.3163,2.768,"167,287,000","163,461,000","373,436,000",284.85
White-cheeked pintail,Anseriformes,Anatidae,2.246,0.465,3.761,"168,674,000","213,112,000","420,382,000",458.4
Northern shoveler,Anseriformes,Anatidae,2.017,0.453,3.427,"181,830,000","246,016,000","479,524,000",621.15
American kestrel,Falconiformes,Falconidae,1.315,0.308,2.376,"182,502,000","214,534,000","469,942,000",108.02
