Animal,Forebr m,Cer m,rest m,Forebr n,Cer n,Rest n,Body m
,,,,,,,
African sheath-tailed bat,0.0899,0.054,0.098,"5,080,000","47,984,000","5,514,000",11.5
Little free-tailed bat,0.084,0.036,0.084,"5,632,000","25,324,000","4,001,000",5.4
Rufous trident bat,0.093,0.072,0.084,"6,039,000","59,651,000","4,072,000",13.7
Common bent-wing bat,0.0858,0.0485,0.086,"6,116,000","44,447,000","5,094,000",11.6
Naked mole-rat,0.184,0.048,0.16,"6,150,000","15,740,000","4,980,000",35.3
Commerson's roundleaf bat,0.243,0.107,0.237,"7,877,000","51,875,000","6,965,000",101.9
Smoky shrew,0.084,0.02,0.072,"9,730,000","20,870,000","5,560,000",7.5
Heart-nosed bat,0.257,0.103,0.201,"10,221,000","63,792,000","7,317,000",26
Short-palated fruit bat,0.461,0.127,0.301,"10,471,000","77,445,000","11,098,000",27
Northern short-tailed shrew,0.197,0.037,0.113,"11,876,000","33,430,000","6,340,000",21.6
Woermann's bat,0.309,0.079,0.159,"11,897,000","49,734,000","4,097,000",17.9
Zenker's fruit bat,0.323,0.085,0.177,"12,847,000","47,217,000","5,529,000",16.1
House mouse,0.173,0.056,0.172,"13,690,000","42,220,000","11,960,000",20.5
Hairy-tailed mole,0.429,0.102,0.228,"15,690,000","100,780,000","7,130,000",62.5
Golden hamster,0.446,0.145,0.375,"17,140,000","61,210,000","5,870,000",105
Star-nosed mole,0.42,0.138,0.244,"17,250,000","105,920,000","8,160,000",55.3
Diamond dove,0.24,0.0776,0.18,"18,209,000","54,101,000","11,617,000",39.93
King quail,0.22,0.0717,0.178,"20,523,000","42,945,000","12,259,000",43.81
Grey mouse lemur,0.908,0.391,0.5,"22,310,000","221,380,000","11,010,000",64.8
Franquet's epauletted fruit bat,01.04,0.286,0.712,"22,533,000","150,660,000","12,808,000",120
Common quail,0.36,0.109,0.26,"22,568,000","75,198,000","15,811,000",94.86
Hammer-headed bat,1.805,0.456,1.169,"24,343,000","221,298,000","28,877,000",310
Cayenne spiny rat,0.924,0.33,0.824,"26,090,000","162,510,000","13,490,000",356.5
Wahlberg's epauletted fruit bat,0.634,0.193,0.386,"26,201,000","121,136,000","14,416,000",74
Eastern mole,0.476,0.153,0.37,"26,680,000","158,550,000","16,560,000",90
Egyptian fruit bat,0.985,0.219,0.547,"28,859,000","132,436,000","10,936,000",120
Brown rat,0.769,0.272,0.683,"31,020,000","139,170,000","18,680,000",300
Four-toed elephant shrew,1.239,0.304,0.894,"33,947,000","110,650,000","12,230,000",210
Grey partridge,0.74,0.2071,0.506,"36,882,000","107,546,000","19,105,000",337.33
Ferret,3.123,0.92,1.386,"38,950,000","351,260,000","14,210,000",809
Northern bobwhite,0.51,0.1471,0.371,"39,112,000","80,021,000","21,009,000",181.08
African collared dove,0.51,0.1404,0.324,"39,997,000","72,381,000","19,337,000",137.25
Guinea pig,1.938,0.5,1.218,"43,510,000","167,850,000","22,190,000",728
Quebrach crested tinamou,0.88,0.2526,0.542,"48,292,000","146,230,000","33,195,000",475.75
Common wood pigeon,1.28,0.4016,0.781,"51,325,000","164,834,000","28,674,000",468.33
Elegant crested tinamou,1,0.2734,0.575,"51,384,000","129,548,000","27,970,000",502.95
Eurasian blackcap,0.454,0.084,0.236,"52,000,000","76,000,000","27,000,000",16.7
Zebra finch,0.277,0.056,0.161,"55,000,000","56,000,000","24,000,000",12
Chilean tinamou,0.82,0.2376,0.543,"59,130,000","136,461,000","33,825,000",388.7
Red junglefowl,1.335,0.369,1.115,"60,000,000","114,000,000","45,000,000",779.8
Common tree shrew,1.455,0.326,0.919,"60,390,000","185,280,000","22,480,000",200
Goldcrest,0.176,0.04,0.141,"64,000,000","66,000,000","32,000,000",5.6
European rabbit,4.448,1.412,3.272,"71,450,000","396,670,000","26,080,000",1800
Rock dove,0.915,0.332,0.848,"72,000,000","197,000,000","40,000,000",358.7
Eastern grey squirrel,2.73,0.874,1.943,"77,330,000","342,830,000","33,490,000",533
Reeves's pheasant,1.7,0.5158,1.136,"80,688,000","245,720,000","42,983,000",1119
Great tit,0.58,0.09,0.27,"83,000,000","108,000,000","34,000,000",17.9
Eurasian sparrowhawk,1.28,0.4795,0.789,"87,832,000","253,630,000","47,222,000",162.4
