Animal,Forebrain m,Cerebellum m,Rest of brain m,Forebrain n,Cerebellum n,Rest of brain n,Body m,Body m at birth,Body m at weaning,Longevity y,Gestation d,Weaning d,Male maturity d,Female maturity d,Litters per year,Inter-litter interval d,Body temperature C,Basal metabolic rate w,Metabolic rate per body m
,,,,,,,,,,,,,,,,,,,
African sheath-tailed bat,0.0899,0.054,0.098,"5,080,000","47,984,000","5,514,000",11.5,-,-,-,-,-,-,-,-,-,-,-,-
Little free-tailed bat,0.084,0.036,0.084,"5,632,000","25,324,000","4,001,000",5.4,-,-,-,-,-,-,-,-,-,-,-,-
Rufous trident bat,0.093,0.072,0.084,"6,039,000","59,651,000","4,072,000",13.7,-,-,-,-,-,-,-,-,-,-,-,-
Common bent-wing bat,0.0858,0.0485,0.086,"6,116,000","44,447,000","5,094,000",11.6,-,-,-,-,-,-,-,-,-,-,-,-
Naked mole-rat,0.184,0.048,0.16,"6,150,000","15,740,000","4,980,000",35.3,2,-,31,70,-,-,228,3.5,81,32.1,0.128,0.003626
Commerson's roundleaf bat,0.243,0.107,0.237,"7,877,000","51,875,000","6,965,000",101.9,-,-,-,-,-,-,-,-,-,-,-,-
Smoky shrew,0.084,0.02,0.072,"9,730,000","20,870,000","5,560,000",7.5,-,4,-,21,-,304,304,2.5,-,-,-,-
Heart-nosed bat,0.257,0.103,0.201,"10,221,000","63,792,000","7,317,000",26,-,-,-,-,-,-,-,-,-,-,-,-
Short-palated fruit bat,0.461,0.127,0.301,"10,471,000","77,445,000","11,098,000",27,-,-,-,-,-,-,-,-,-,-,-,-
Northern short-tailed shrew,0.197,0.037,0.113,"11,876,000","33,430,000","6,340,000",21.6,1.34,-,2.2,17,23,65,46,3,-,-,0.344,0.016459
Woermann's bat,0.309,0.079,0.159,"11,897,000","49,734,000","4,097,000",17.9,-,-,-,-,-,-,-,-,-,-,-,-
Zenker's fruit bat,0.323,0.085,0.177,"12,847,000","47,217,000","5,529,000",16.1,-,-,-,-,-,-,-,-,-,-,-,-
House mouse,0.173,0.056,0.172,"13,690,000","42,220,000","11,960,000",20.5,1.25,-,4,19,-,42,42,5.4,30,36.9,0.271,0.015056
Hairy-tailed mole,0.429,0.102,0.228,"15,690,000","100,780,000","7,130,000",62.5,10.1,34.8,-,35,30,300,300,1,-,-,-,-
Golden hamster,0.446,0.145,0.375,"17,140,000","61,210,000","5,870,000",105,2.45,22.93,3.9,16,20,48,48,3,-,38.1,0.69,0.006377
Star-nosed mole,0.42,0.138,0.244,"17,250,000","105,920,000","8,160,000",55.3,1.5,30,2.5,40,24,304,304,1,-,37.7,0.615,0.012551
Grey mouse lemur,0.908,0.391,0.5,"22,310,000","221,380,000","11,010,000",64.8,6,-,18.2,61,-,243,243,1,73,-,-,-
Franquet's epauletted fruit bat,1.04,0.286,0.712,"22,533,000","150,660,000","12,808,000",120,-,-,-,-,-,-,-,-,-,-,-,-
Hammer-headed bat,1.805,0.456,1.169,"24,343,000","221,298,000","28,877,000",310,40,-,-,120,-,420,180,2,-,-,-,-
Cayenne spiny rat,0.924,0.33,0.824,"26,090,000","162,510,000","13,490,000",356.5,24.7,-,-,64,29,146,148,-,66,-,-,-
Wahlberg's epauletted fruit bat,0.634,0.193,0.386,"26,201,000","121,136,000","14,416,000",74,-,-,10.1,165,-,-,244,2,-,-,-,-
Eastern mole,0.476,0.153,0.37,"26,680,000","158,550,000","16,560,000",90,5.355,-,6.2,36,36,335,335,1,-,36.0,0.378,0.007875
Egyptian fruit bat,0.985,0.219,0.547,"28,859,000","132,436,000","10,936,000",120,21.06,73.8,22.9,116,122,365,365,2,-,34.8,0.684,0.004685
Brown rat,0.769,0.272,0.683,"31,020,000","139,170,000","18,680,000",300,5.81,-,3.8,21,-,70,90,3.7,-,37.1,1.4040,0.006786
Four-toed elephant shrew,1.239,0.304,0.894,"33,947,000","110,650,000","12,230,000",210,31,-,-,-,-,-,-,2,-,37.5,0.852,0.004096
Ferret,3.123,0.92,1.386,"38,950,000","351,260,000","14,210,000",809,9.5,-,11.1,42,63,322,312,1.5,140,-,-,-
Guinea pig,1.938,0.5,1.218,"43,510,000","167,850,000","22,190,000",728,85,-,12,68,-,76,66,5,96,39.0,2.13,0.003333
