,Animal,Forebr m,Cer m,rest m,Forebr n,Cer n,Rest n,Body m,Fmr %,Cmr %,rmr %
0,African sheath-tailed bat,0.0899,0.054,0.098,5080000.0,47984000.0,5514000.0,11.5,0.371641174038859,0.2232327408019843,0.4051260851591567
1,Little free-tailed bat,0.084,0.036,0.084,5632000.0,25324000.0,4001000.0,5.4,0.4117647058823529,0.1764705882352941,0.4117647058823529
2,Rufous trident bat,0.093,0.072,0.084,6039000.0,59651000.0,4072000.0,13.7,0.37349397590361444,0.2891566265060241,0.3373493975903615
3,Common bent-wing bat,0.0858,0.0485,0.086,6116000.0,44447000.0,5094000.0,11.6,0.389468906037222,0.22015433499773038,0.39037675896504764
4,Naked mole-rat,0.184,0.048,0.16,6150000.0,15740000.0,4980000.0,35.3,0.4693877551020408,0.12244897959183673,0.40816326530612246
5,Commerson's roundleaf bat,0.243,0.107,0.237,7877000.0,51875000.0,6965000.0,101.9,0.41396933560477,0.18228279386712096,0.403747870528109
6,Smoky shrew,0.084,0.02,0.072,9730000.0,20870000.0,5560000.0,7.5,0.47727272727272735,0.11363636363636365,0.40909090909090906
7,Heart-nosed bat,0.257,0.103,0.201,10221000.0,63792000.0,7317000.0,26.0,0.4581105169340464,0.18360071301247774,0.358288770053476
8,Short-palated fruit bat,0.461,0.127,0.301,10471000.0,77445000.0,11098000.0,27.0,0.5185601799775028,0.14285714285714285,0.33858267716535434
9,Northern short-tailed shrew,0.197,0.037,0.113,11876000.0,33430000.0,6340000.0,21.6,0.5677233429394812,0.10662824207492794,0.3256484149855908
10,Woermann's bat,0.309,0.079,0.159,11897000.0,49734000.0,4097000.0,17.9,0.5648994515539305,0.14442413162705667,0.2906764168190128
11,Zenker's fruit bat,0.323,0.085,0.177,12847000.0,47217000.0,5529000.0,16.1,0.5521367521367522,0.1452991452991453,0.30256410256410254
12,House mouse,0.173,0.056,0.172,13690000.0,42220000.0,11960000.0,20.5,0.4314214463840399,0.13965087281795513,0.428927680798005
13,Hairy-tailed mole,0.429,0.102,0.228,15690000.0,100780000.0,7130000.0,62.5,0.5652173913043478,0.13438735177865613,0.30039525691699603
14,Golden hamster,0.446,0.145,0.375,17140000.0,61210000.0,5870000.0,105.0,0.4616977225672878,0.15010351966873706,0.38819875776397517
15,Star-nosed mole,0.42,0.138,0.244,17250000.0,105920000.0,8160000.0,55.3,0.5236907730673316,0.17206982543640897,0.30423940149625933
16,Grey mouse lemur,0.908,0.391,0.5,22310000.0,221380000.0,11010000.0,64.8,0.5047248471372985,0.21734296831573097,0.27793218454697055
17,Franquet's epauletted fruit bat,1.04,0.286,0.712,22533000.0,150660000.0,12808000.0,120.0,0.5103042198233562,0.14033366045142293,0.34936211972522074
18,Hammer-headed bat,1.805,0.456,1.169,24343000.0,221298000.0,28877000.0,310.0,0.5262390670553936,0.13294460641399417,0.3408163265306122
19,Cayenne spiny rat,0.924,0.33,0.824,26090000.0,162510000.0,13490000.0,356.5,0.4446583253128008,0.15880654475457173,0.3965351299326275
20,Wahlberg's epauletted fruit bat,0.634,0.193,0.386,26201000.0,121136000.0,14416000.0,74.0,0.5226710634789777,0.1591096455070074,0.3182192910140148
21,Eastern mole,0.476,0.153,0.37,26680000.0,158550000.0,16560000.0,90.0,0.47647647647647645,0.15315315315315314,0.37037037037037035
22,Egyptian fruit bat,0.985,0.219,0.547,28859000.0,132436000.0,10936000.0,120.0,0.5625356938892062,0.12507138777841234,0.31239291833238153
23,Brown rat,0.769,0.272,0.683,31020000.0,139170000.0,18680000.0,300.0,0.4460556844547564,0.1577726218097448,0.3961716937354989
