,Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain m per body m,Cerebellum m per body m,Whole brain m per body m,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m
0,Namaqua dove,Columbiformes,Columbidae,0.24,0.087,0.555,14167000.0,59533000.0,94490000.0,31.85,43.24324324324324,15.675675675675674,14.9931209651815,63.0045507461107,59029.166666666664,684287.356321839,170252.25225225225,0.7535321821036106,0.2731554160125588,1.7425431711145998,444803.7676609105,1869167.9748822604,2966718.9952904237
1,Common ground dove,Columbiformes,Columbidae,0.246,0.075,0.572,17602000.0,51380000.0,89630000.0,35.277,43.006993006993014,13.111888111888112,19.638513890438468,57.32455651009707,71552.84552845529,685066.6666666666,156695.8041958042,0.6973382090313802,0.21260311250956712,1.6214530714062987,498965.3315191201,1456473.0560988747,2540748.929897667
2,Diamond dove,Columbiformes,Columbidae,0.24,0.0776,0.545,18209000.0,54101000.0,87879000.0,39.93,44.03669724770642,14.238532110091743,20.72053619180919,61.56305829606619,75870.83333333333,697177.8350515463,161245.87155963303,0.6010518407212622,0.19434009516654144,1.3648885549711998,456023.040320561,1354896.0681192086,2200826.4462809917
3,King quail,Galliformes,Phasianidae,0.22,0.0717,0.521,20523000.0,42945000.0,80478000.0,43.81,42.226487523992326,13.761996161228407,25.501379258927905,53.36240960262432,93286.36363636363,598953.9748953974,154468.330134357,0.5021684546907099,0.16366126455147226,1.1892262040629993,468454.6907098836,980255.6493951152,1836977.8589363159
4,Common quail,Galliformes,Phasianidae,0.36,0.109,0.787,22568000.0,75198000.0,117760000.0,94.86,45.7433290978399,13.850063532401524,19.164402173913043,63.856997282608695,62688.88888888889,689889.9082568807,149631.5120711563,0.3795066413662239,0.11490617752477335,0.8296436854311617,237908.49673202613,792726.1227071474,1241408.3913135147
5,Common emerald dove,Columbiformes,Columbidae,0.494,0.176,1.126,27148000.0,109818000.0,168489000.0,119.64,43.8721136767318,15.630550621669629,16.112624563027854,65.1781421932589,54955.465587044535,623965.9090909091,149634.99111900534,0.412905382815112,0.1471079906385824,0.941156803744567,226914.07556001339,917903.7111334002,1408299.8996990973
6,Common bronzewing,Columbiformes,Columbidae,0.869,0.257,1.848,34077000.0,145208000.0,216703000.0,306.025,47.023809523809526,13.906926406926406,15.725209157233632,67.00784022371633,39214.03912543153,565011.6731517509,117263.52813852814,0.2839637284535577,0.08398006698799118,0.6038722326607304,111353.64757781228,474497.1816028103,708121.8854668736
7,Pink-necked green pigeon,Columbiformes,Columbidae,0.645,0.2,1.339,34357000.0,114792000.0,174476000.0,128.85,48.170276325616136,14.936519790888724,19.691533506040944,65.79242990439947,53266.666666666664,573960.0,130303.21135175505,0.5005820721769499,0.15521924718665114,1.0391928599146294,266643.3837795887,890896.391152503,1354101.6686069074
8,Grey partridge,Galliformes,Phasianidae,0.74,0.2071,1.565,36882000.0,107546000.0,170287000.0,337.33,47.284345047923324,13.233226837060705,21.65872908677703,63.15573120672746,49840.54054054054,519295.02655721875,108809.58466453674,0.21936975661814842,0.0613938872913764,0.46393739068567874,109335.07248095337,318815.403314262,504808.3479085762
9,Yellow-rumped tinkerbird,Piciformes,Lybiidae,0.2247,0.07,0.47,37925000.0,62830000.0,118030000.0,11.2,47.80851063829788,14.893617021276597,32.13166144200627,53.232229094298056,168780.5963506898,897571.4285714285,251127.6595744681,2.0062500000000005,0.6250000000000001,4.196428571428572,3386160.7142857146,5609821.428571429,10538392.857142858
10,Northern bobwhite,Galliformes,Odontophoridae,0.51,0.1471,1.124,39112000.0,80021000.0,148399000.0,181.08,45.37366548042704,13.087188612099643,26.355972749142513,53.922870100202836,76690.19607843137,543990.4826648538,132027.58007117437,0.28164347249834326,0.0812348133421692,0.6207201237022311,215992.93130108237,441909.6531919593,819521.7583388557
11,African collared dove,Columbiformes,Columbidae,0.51,0.1404,1.077,39997000.0,72381000.0,139271000.0,137.25,47.353760445682454,13.036211699164346,28.718828758320107,51.97133645913363,78425.49019607843,515534.188034188,129313.834726091,0.37158469945355194,0.10229508196721311,0.7846994535519125,291417.12204007286,527366.1202185792,1014724.9544626594
12,Least honeyguide,Piciformes,Indicatoridae,0.196,0.093,0.451,43099000.0,85900000.0,150730000.0,15.0,43.45898004434589,20.620842572062084,28.593511576991972,56.98931864924036,219892.85714285713,923655.9139784946,334212.86031042127,1.3066666666666666,0.62,3.006666666666667,2873266.6666666665,5726666.666666667,10048666.666666666
13,White-eared barbet,Piciformes,Lybiidae,0.18546,0.057,0.393,43553000.0,55610000.0,116970000.0,9.9,47.19083969465649,14.50381679389313,37.23433358980935,47.54210481319996,234837.70085193572,975614.0350877193,297633.58778625954,1.8733333333333335,0.5757575757575757,3.9696969696969697,4399292.929292929,5617171.717171717,11815151.515151516
14,Silver-tipped imperial pigeon,Columbiformes,Columbidae,1.449,0.434,2.915,47331000.0,210346000.0,293494000.0,456.4,49.708404802744425,14.888507718696397,16.126735129167887,71.66960823730638,32664.596273291925,484668.20276497694,100684.04802744425,0.3174846625766871,0.0950920245398773,0.6386941279579317,103705.083260298,460880.8063102542,643063.1025416302
15,Quebrach crested tinamou,Struthioniformes,Tinamidae,0.88,0.2526,1.84,48292000.0,146230000.0,235671000.0,475.75,47.826086956521735,13.728260869565217,20.491278095310836,62.048364032910285,54877.27272727273,578899.4457640538,128082.06521739131,0.18497109826589594,0.053095112979506046,0.3867577509196007,101507.09406200735,307367.3147661587,495367.3147661587
16,Lesser honeyguide,Piciformes,Indicatoridae,0.272,0.128,0.636,48925000.0,107980000.0,180460000.0,26.5,42.76729559748428,20.125786163522015,27.11127119583287,59.83597473124238,179871.32352941178,843593.75,283742.1383647799,1.0264150943396226,0.4830188679245283,2.4,1846226.4150943395,4074716.9811320757,6809811.320754717
17,Red-legged partridge,Galliformes,Phasianidae,1.055,0.243,2.091,50185000.0,108889000.0,197176000.0,459.667,50.45432807269249,11.621233859397416,25.451880553414206,55.2242666450278,47568.72037914692,448102.8806584362,94297.46532759446,0.22951397424657416,0.05286435615347632,0.4548945214688025,109176.86064042014,236886.7027652627,428954.0036591707
18,Common wood pigeon,Columbiformes,Columbidae,1.28,0.4016,2.671,51325000.0,164834000.0,258681000.0,468.33,47.92212654436541,15.035567203294647,19.841039736200187,63.72095360695219,40097.65625,410443.2270916334,96847.9970048671,0.2733115538188884,0.08575150001067623,0.5703243439455085,109591.52734183162,351961.22392330196,552347.703542374
