,Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain m per body m,Cerebellum m per body m,Whole brain m per body m,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m,Forebrain m/Rest m,Cerebellum m/Rest m,Forebrain m/Cerebellum m
0,African sheath-tailed bat,Chiroptera,Emballonuridae,0.0899,0.054,0.244,5080000.0,47984000.0,58580000.0,11.5,36.84426229508196,22.131147540983605,8.671901672925914,81.91191532946398,56507.23025583983,888592.5925925926,240081.96721311475,0.7817391304347826,0.46956521739130436,2.121739130434783,441739.1304347826,4172521.7391304346,5093913.043478261,0.8981018981018979,0.5394605394605393,1.6648148148148147
1,Little free-tailed bat,Chiroptera,Molossidae,0.084,0.036,0.208,5632000.0,25324000.0,34958000.0,5.4,40.384615384615394,17.307692307692307,16.110761485210826,72.4412151724927,67047.61904761905,703444.4444444445,168067.3076923077,1.5555555555555556,0.6666666666666665,3.8518518518518516,1042962.9629629629,4689629.62962963,6473703.703703703,0.9545454545454547,0.40909090909090906,2.3333333333333335
2,Rufous trident bat,Chiroptera,Hipposideridae,0.093,0.072,0.251,6039000.0,59651000.0,69763000.0,13.7,37.05179282868526,28.685258964143422,8.656451127388443,85.50521049840172,64935.48387096774,828486.1111111111,277940.2390438247,0.6788321167883211,0.5255474452554744,1.832116788321168,440802.9197080292,4354087.591240876,5092189.781021898,1.0813953488372092,0.8372093023255812,1.2916666666666667
3,Common bent-wing bat,Chiroptera,Miniopteridae,0.0858,0.0485,0.219,6116000.0,44447000.0,55659000.0,11.6,39.178082191780824,22.14611872146119,10.988339711457266,79.85590829874774,71282.05128205128,916432.9896907216,254150.68493150684,0.7396551724137932,0.41810344827586204,1.8879310344827587,527241.3793103448,3831637.931034483,4798189.655172414,1.012987012987013,0.5726092089728455,1.7690721649484535
4,Naked mole-rat,Rodentia,Heterocephalidae,0.184,0.048,0.392,6150000.0,15740000.0,26880000.0,35.3,46.93877551020408,12.244897959183673,22.879464285714285,58.55654761904761,33423.913043478264,327916.6666666667,68571.42857142857,0.5212464589235127,0.1359773371104816,1.1104815864022666,174220.96317280454,445892.35127478756,761473.087818697,1.1499999999999997,0.29999999999999993,3.833333333333333
5,Commerson's roundleaf bat,Chiroptera,Hipposideridae,0.243,0.107,0.588,7877000.0,51875000.0,66719000.0,101.9,41.3265306122449,18.197278911564627,11.806232107795381,77.75146509989658,32415.637860082305,484813.08411214955,113467.68707482993,0.2384690873405299,0.10500490677134444,0.5770363101079489,77301.27576054956,509077.52698724234,654749.7546614327,1.0210084033613445,0.4495798319327731,2.2710280373831777
6,Smoky shrew,Eulipotyphla,Soricidae,0.084,0.02,0.176,9730000.0,20870000.0,36460000.0,7.5,47.727272727272734,11.363636363636365,26.686780032912782,57.240811848601204,115833.33333333333,1043500.0,207159.0909090909,1.1199999999999999,0.26666666666666666,2.3466666666666667,1297333.3333333333,2782666.6666666665,4861333.333333333,1.166666666666667,0.27777777777777785,4.2
7,Ansell's mole-rat,Rodentia,Bathyergidae,0.301,0.207,1.25,9730000.0,75440000.0,102820000.0,93.45,24.08,16.56,9.46313946702976,73.3709395059327,32325.581395348836,364444.44444444444,82256.0,0.3220973782771535,0.22150882825040127,1.337613697164259,104119.85018726591,807276.6185125735,1100267.5227394328,0.4056603773584905,0.2789757412398921,1.4541062801932367
8,Heart-nosed bat,Chiroptera,Megadermatidae,0.257,0.103,0.562,10221000.0,63792000.0,81331000.0,26.0,45.72953736654804,18.327402135231313,12.567163812076576,78.43503707073563,39770.428015564205,619339.8058252428,144717.0818505338,0.9884615384615384,0.3961538461538462,2.1615384615384614,393115.3846153846,2453538.4615384615,3128115.3846153845,1.2722772277227719,0.5099009900990097,2.4951456310679614
9,Short-palated fruit bat,Chiroptera,Pteropodidae,0.461,0.127,0.892,10471000.0,77445000.0,99016000.0,27.0,51.681614349775785,14.237668161434977,10.575058576391694,78.21463197867011,22713.665943600867,609803.1496062992,111004.48430493273,1.7074074074074075,0.4703703703703704,3.303703703703704,387814.81481481483,2868333.3333333335,3667259.2592592593,1.5164473684210527,0.41776315789473684,3.62992125984252
10,Common mole-rat,Rodentia,Bathyergidae,0.19,0.125,0.85,11730000.0,68810000.0,96240000.0,68.58,22.35294117647059,14.705882352941178,12.188279301745636,71.49833748960931,61736.84210526316,550480.0,113223.5294117647,0.27704870224555267,0.18226888305628464,1.2394284047827355,171041.1198600175,1003353.7474482356,1403324.5844269467,0.3551401869158879,0.23364485981308414,1.52
11,Northern short-tailed shrew,Eulipotyphla,Soricidae,0.197,0.037,0.347,11876000.0,33430000.0,55190000.0,21.6,56.772334293948134,10.662824207492795,21.518391012864647,60.572567494111254,60284.26395939086,903513.5135135135,159048.99135446685,0.9120370370370371,0.17129629629629628,1.6064814814814814,549814.8148148148,1547685.1851851852,2555092.5925925924,1.7433628318584078,0.3274336283185842,5.324324324324325
12,Woermann's bat,Chiroptera,Pteropodidae,0.309,0.079,0.55,11897000.0,49734000.0,65728000.0,17.9,56.18181818181818,14.363636363636362,18.100352969814995,75.66638266796495,38501.61812297734,629544.3037974683,119505.45454545454,1.7262569832402237,0.441340782122905,3.072625698324023,664636.8715083799,2778435.7541899444,3671955.30726257,1.907407407407407,0.4876543209876542,3.911392405063291
13,Mashona mole-rat,Rodentia,Bathyergidae,0.281,0.162,1.23,12490000.0,84910000.0,113350000.0,115.19,22.845528455284555,13.170731707317074,11.01896779885311,74.9095721217468,44448.39857651245,524135.8024691358,92154.47154471544,0.24394478687386062,0.14063720809098013,1.0678010243944787,108429.55117631739,737129.959197847,984026.3911797899,0.3570520965692504,0.20584498094027956,1.734567901234568
14,Zenker's fruit bat,Chiroptera,Pteropodidae,0.323,0.085,0.588,12847000.0,47217000.0,65595000.0,16.1,54.93197278911565,14.455782312925173,19.5853342480372,71.98262062657214,39773.993808049534,555494.1176470588,111556.12244897959,2.0062111801242235,0.5279503105590062,3.652173913043478,797950.3105590062,2932732.9192546583,4074223.6024844716,1.7944444444444452,0.47222222222222243,3.8
15,House mouse,Rodentia,Muridae,0.173,0.056,0.402,13690000.0,42220000.0,67870000.0,20.5,43.034825870646756,13.930348258706468,20.170914984529247,62.20716074848976,79132.94797687861,753928.5714285715,168830.8457711443,0.8439024390243901,0.2731707317073171,1.9609756097560975,667804.8780487805,2059512.1951219512,3310731.7073170734,0.9999999999999997,0.32369942196531787,3.089285714285714
16,Hairy-tailed mole,Eulipotyphla,Talpidae,0.429,0.102,0.759,15690000.0,100780000.0,123600000.0,62.5,56.52173913043478,13.438735177865613,12.694174757281553,81.53721682847896,36573.42657342657,988039.2156862745,162845.84980237155,0.6864,0.1632,1.2144,251040.0,1612480.0,1977600.0,1.8815789473684208,0.44736842105263147,4.205882352941177
17,Golden hamster,Rodentia,Cricetidae,0.446,0.145,0.965,17140000.0,61210000.0,84220000.0,105.0,46.21761658031088,15.025906735751295,20.35146046069817,72.67869864640228,38430.4932735426,422137.9310344828,87274.61139896372,0.4247619047619048,0.1380952380952381,0.919047619047619,163238.09523809524,582952.380952381,802095.2380952381,1.1925133689839575,0.3877005347593584,3.0758620689655176
